Country,Chronic Migraine,Brand Name
United States,Yes,Aimovig
Switzerland,Yes,Aimovig
Japan,Yes,Aimovig
European Union,Yes,Aimovig
Singapore,Yes,Aimovig
Canada,Yes,Aimovig
Australia,Yes,Aimovig
United Kingdom,Yes,Aimovig
New Zealand,Yes,Aimovig
India,No,Aimovig
China,No,None
Indonesia,No,None
Pakistan,No,None
Nigeria,No,None
Brazil,No,None
Bangladesh,No,None
Russia,No,None
Ethiopia,No,None
Mexico,No,Glaseeq
Egypt,No,None
Philippines,No,Aerinex
DR Congo,No,None
Vietnam,No,None
Iran,No,None
Turkey,No,Kuzelva
Thailand,No,None
Tanzania,No,None
South Africa,No,None
Myanmar,No,None
Kenya,No,None
Colombia,No,None
South Korea,No,None
Sudan,No,None
Uganda,No,None
Argentina,No,None
Algeria,No,None
Ukraine,No,None
Iraq,No,None
Afghanistan,No,None
Saudi Arabia,No,None
Peru,No,None
Malaysia,No,Pasurta
Uzbekistan,No,None
Venezuela,No,None
Nepal,No,None
Yemen,No,None
Mozambique,No,None
Madagascar,No,None
North Korea,No,None
Taiwan,No,None
Brazil,No,Pasurta
Russia,No,Irinex
South Africa,No,Pasurta
